,count,mean,std,min,25%,50%,75%,max
C12,590540.0,4.076226843228231,86.66621767484462,0.0,0.0,0.0,0.0,3188.0
C13,590540.0,32.539917702441834,129.36484444572034,0.0,1.0,3.0,12.0,2918.0
C14,590540.0,8.29521454939547,49.54426241828119,0.0,1.0,1.0,2.0,1429.0
D1,589271.0,94.34756843625429,157.66038652128336,0.0,0.0,3.0,122.0,640.0
D2,309743.0,169.56323145317248,177.31586494204439,0.0,26.0,97.0,276.0,640.0
D3,327662.0,28.343347718075332,62.384721370082914,0.0,1.0,8.0,27.0,819.0
D4,421618.0,140.0024405978872,191.0967735260967,-122.0,0.0,26.0,253.0,869.0
D5,280699.0,42.33596485915518,89.00014433975728,0.0,1.0,10.0,32.0,819.0
D6,73187.0,69.80571686228429,143.66925294255864,-83.0,0.0,0.0,40.0,873.0
D7,38917.0,41.63894955931855,99.74326354021582,0.0,0.0,0.0,17.0,843.0
D8,74926.0,146.0581076468787,231.66383996904742,0.0,0.9583330154418944,37.875,187.9583282470703,1707.7916259765625
D9,74926.0,0.5610571265961662,0.3168795656974982,0.0,0.2083330005407333,0.6666659712791443,0.8333330154418945,0.9583330154418944
D10,514518.0,123.98213667937759,182.61522453487774,0.0,0.0,15.0,197.0,876.0
D11,311253.0,146.6214654959149,186.0426220143441,-53.0,0.0,43.0,274.0,670.0
D12,64717.0,54.03753264211876,124.27455838010566,-83.0,0.0,0.0,13.0,648.0
D13,61952.0,17.901294550619834,67.61442502486875,0.0,0.0,0.0,0.0,847.0
D14,62187.0,57.724444015630276,136.31245028869733,-193.0,0.0,0.0,2.0,878.0
D15,501427.0,163.744578971615,202.72665990086128,-83.0,0.0,52.0,314.0,879.0
V1,311253.0,0.9999453820525425,0.00739020566738143,0.0,1.0,1.0,1.0,1.0
V2,311253.0,1.0452043835722065,0.24013288821353682,0.0,1.0,1.0,1.0,8.0
V3,311253.0,1.0780747494803262,0.3208898249409699,0.0,1.0,1.0,1.0,9.0
V4,311253.0,0.8464560984151157,0.44005328667973637,0.0,1.0,1.0,1.0,6.0
V5,311253.0,0.8769907438643162,0.4759024963216982,0.0,1.0,1.0,1.0,6.0
V6,311253.0,1.0456863066380082,0.23938492877849654,0.0,1.0,1.0,1.0,9.0
V7,311253.0,1.072869980369667,0.30477880685493075,0.0,1.0,1.0,1.0,9.0
V8,311253.0,1.0277041506427247,0.1860693644934078,0.0,1.0,1.0,1.0,8.0
V9,311253.0,1.0415289169903583,0.2263387287105594,0.0,1.0,1.0,1.0,8.0
V10,311253.0,0.4639152072429824,0.5215220840101313,0.0,0.0,0.0,1.0,4.0
V11,311253.0,0.47898654792082324,0.5524307764364693,0.0,0.0,0.0,1.0,5.0
V12,514467.0,0.5597113128733233,0.5105330018743418,0.0,0.0,1.0,1.0,3.0
V13,514467.0,0.5991657385216156,0.5321850943345517,0.0,0.0,1.0,1.0,6.0
V14,514467.0,0.9995004538677894,0.022344967137629658,0.0,1.0,1.0,1.0,1.0
V15,514467.0,0.12234215216913816,0.33242174596292134,0.0,0.0,0.0,0.0,7.0
V16,514467.0,0.12345981374898682,0.342841050723969,0.0,0.0,0.0,0.0,15.0
V17,514467.0,0.1340396954517977,0.3644564700797486,0.0,0.0,0.0,0.0,15.0
V18,514467.0,0.13536339551419235,0.3717633033982025,0.0,0.0,0.0,0.0,15.0
V19,514467.0,0.8163711180697693,0.42551187249910283,0.0,1.0,1.0,1.0,7.0
V20,514467.0,0.8478425243990382,0.4594505740515157,0.0,1.0,1.0,1.0,15.0
V21,514467.0,0.12968373092929186,0.3390596655626015,0.0,0.0,0.0,0.0,5.0
V22,514467.0,0.13229225586869517,0.359414763342996,0.0,0.0,0.0,0.0,8.0
V23,514467.0,1.0347913471612369,0.24768061282096882,0.0,1.0,1.0,1.0,13.0
V24,514467.0,1.0580970208001679,0.3054850404494283,0.0,1.0,1.0,1.0,13.0
V25,514467.0,0.9776603747179119,0.18524491927257536,0.0,1.0,1.0,1.0,7.0
V26,514467.0,0.9880400492159847,0.2093021394214399,0.0,1.0,1.0,1.0,13.0
V27,514467.0,0.0007755599484515042,0.028595851947529456,0.0,0.0,0.0,0.0,4.0
V28,514467.0,0.0008299852079919606,0.031132762227640828,0.0,0.0,0.0,0.0,4.0
V29,514467.0,0.3878402307631004,0.5106517814053854,0.0,0.0,0.0,1.0,5.0
V30,514467.0,0.40643617569251284,0.5543107073880235,0.0,0.0,0.0,1.0,9.0
V31,514467.0,0.14076121500504404,0.35579282006870955,0.0,0.0,0.0,0.0,7.0
V32,514467.0,0.14241729790248936,0.36827768278317935,0.0,0.0,0.0,0.0,15.0
V33,514467.0,0.1306925419900596,0.3409002453056558,0.0,0.0,0.0,0.0,7.0
V34,514467.0,0.1391537260893313,0.35754897006100733,0.0,0.0,0.0,0.0,13.0
V35,421571.0,0.5425942486556239,0.5160100317427343,0.0,0.0,1.0,1.0,3.0
V36,421571.0,0.5791978100960455,0.5390387158511855,0.0,0.0,1.0,1.0,5.0
V37,421571.0,1.1080648336816337,0.6905711497528216,0.0,1.0,1.0,1.0,54.0
V38,421571.0,1.1623996906808105,0.8589201031342022,0.0,1.0,1.0,1.0,54.0
V39,421571.0,0.16607641417459929,0.4519555336355333,0.0,0.0,0.0,0.0,15.0
V40,421571.0,0.17714453793074003,0.5057864825827826,0.0,0.0,0.0,0.0,24.0
V41,421571.0,0.9992693994605891,0.027019779681713298,0.0,1.0,1.0,1.0,1.0
V42,421571.0,0.15611842370561543,0.3828958872709481,0.0,0.0,0.0,0.0,8.0
V43,421571.0,0.16894188642008107,0.4333588200818633,0.0,0.0,0.0,0.0,8.0
V44,421571.0,1.0838909697298913,0.6391433261705006,0.0,1.0,1.0,1.0,48.0
V45,421571.0,1.1207791807311225,0.729773533820353,0.0,1.0,1.0,1.0,48.0
V46,421571.0,1.0222856885317064,0.1667189499849691,0.0,1.0,1.0,1.0,6.0
V47,421571.0,1.0385154576571918,0.23186213696736246,0.0,1.0,1.0,1.0,12.0
V48,421571.0,0.3831738900446188,0.5081889966750448,0.0,0.0,0.0,1.0,5.0
V49,421571.0,0.39772422676132846,0.5426536517877487,0.0,0.0,0.0,1.0,5.0
V50,421571.0,0.16474567747781513,0.37399542669401337,0.0,0.0,0.0,0.0,5.0
V51,421571.0,0.1705786213947354,0.40389885558685773,0.0,0.0,0.0,0.0,6.0
V52,421571.0,0.18269520436652426,0.4390016374515969,0.0,0.0,0.0,0.0,12.0
V53,513444.0,0.5775858710979191,0.5115705172682595,0.0,0.0,1.0,1.0,5.0
V54,513444.0,0.6199819259744003,0.534634758688957,0.0,0.0,1.0,1.0,6.0
V55,513444.0,1.0676704762349936,0.3913637299419656,0.0,1.0,1.0,1.0,17.0
V56,513444.0,1.1209791135936928,0.6611285025687241,0.0,1.0,1.0,1.0,51.0
V57,513444.0,0.12831194833321646,0.3490943267395492,0.0,0.0,0.0,0.0,6.0
V58,513444.0,0.13245261411176293,0.37290726410101444,0.0,0.0,0.0,0.0,10.0
V59,513444.0,0.13443335592586533,0.37929127823261943,0.0,0.0,0.0,0.0,16.0
V60,513444.0,0.14253745296468553,0.4182296036808802,0.0,0.0,0.0,0.0,16.0
V61,513444.0,0.8297847477037418,0.4366169267606993,0.0,1.0,1.0,1.0,6.0
V62,513444.0,0.8675629669447885,0.4838034073591839,0.0,1.0,1.0,1.0,10.0
V63,513444.0,0.13074259315524187,0.35526249470894344,0.0,0.0,0.0,0.0,7.0
V64,513444.0,0.14182461962745693,0.4061572739345077,0.0,0.0,0.0,0.0,7.0
V65,513444.0,0.999663059652075,0.018352860135151826,0.0,1.0,1.0,1.0,1.0
V66,513444.0,0.9810378541768917,0.216235156957635,0.0,1.0,1.0,1.0,7.0
V67,513444.0,0.998120535053482,0.2459115872882006,0.0,1.0,1.0,1.0,8.0
V68,513444.0,0.0005336511868869828,0.02375983198388811,0.0,0.0,0.0,0.0,2.0
V69,513444.0,0.3902002944819688,0.5136955348334363,0.0,0.0,0.0,1.0,5.0
V70,513444.0,0.4079237463092372,0.5544992192936061,0.0,0.0,0.0,1.0,6.0
V71,513444.0,0.1406385116974782,0.3643031200048896,0.0,0.0,0.0,0.0,6.0
V72,513444.0,0.14512390835222536,0.3892119141886047,0.0,0.0,0.0,0.0,10.0
V73,513444.0,0.1399821596902486,0.36709800025724626,0.0,0.0,0.0,0.0,7.0
V74,513444.0,0.1521470695927891,0.3932741225161538,0.0,0.0,0.0,0.0,8.0
V75,501376.0,0.5442781465407199,0.5143176188974297,0.0,0.0,1.0,1.0,4.0
V76,501376.0,0.5875570430176156,0.5382304466484088,0.0,0.0,1.0,1.0,6.0
V77,501376.0,1.0868928708195047,0.532957531253264,0.0,1.0,1.0,1.0,30.0
V78,501376.0,1.1444624393668623,0.7814740822626226,0.0,1.0,1.0,1.0,31.0
V79,501376.0,0.13686734107735513,0.3799037769230102,0.0,0.0,0.0,0.0,7.0
V80,501376.0,0.14395383903497574,0.40993187476067067,0.0,0.0,0.0,0.0,19.0
V81,501376.0,0.15269578121010977,0.45229775182644855,0.0,0.0,0.0,0.0,19.0
V82,501376.0,0.8446096342864438,0.4225286088846434,0.0,1.0,1.0,1.0,7.0
V83,501376.0,0.8819648327801889,0.4707567575884763,0.0,1.0,1.0,1.0,7.0
V84,501376.0,0.13714457812101097,0.36187495251017965,0.0,0.0,0.0,0.0,7.0
V85,501376.0,0.14978778401838141,0.41944493820492695,0.0,0.0,0.0,0.0,7.0
V86,501376.0,1.0648854352821036,0.4198066704192301,0.0,1.0,1.0,1.0,30.0
V87,501376.0,1.0994562962726577,0.5112810876716624,0.0,1.0,1.0,1.0,30.0
V88,501376.0,0.9992460748021444,0.02744737323018853,0.0,1.0,1.0,1.0,1.0
V89,501376.0,0.0009015190196579014,0.03194337152820094,0.0,0.0,0.0,0.0,2.0
V90,501376.0,0.40186207556803677,0.5161528893318685,0.0,0.0,0.0,1.0,5.0
V91,501376.0,0.42046089162624456,0.5618647229409892,0.0,0.0,0.0,1.0,6.0
V92,501376.0,0.15032231299463875,0.3756818991945385,0.0,0.0,0.0,0.0,7.0
V93,501376.0,0.15481195749297932,0.4023135553297055,0.0,0.0,0.0,0.0,7.0
V94,501376.0,0.13700695685473577,0.3438782380059312,0.0,0.0,0.0,0.0,2.0
V95,590226.0,1.038019334966606,21.034303677701548,0.0,0.0,0.0,0.0,880.0
V96,590226.0,3.0051895375669657,40.23949020332832,0.0,0.0,0.0,1.0,1410.0
V97,590226.0,1.7189330866481654,27.700448754921098,0.0,0.0,0.0,0.0,976.0
V98,590226.0,0.06198473127242785,0.284994836836032,0.0,0.0,0.0,0.0,12.0
V99,590226.0,0.8949859884179958,2.722552160155262,0.0,0.0,0.0,1.0,88.0
V100,590226.0,0.27350370874885216,0.9471757419947455,0.0,0.0,0.0,0.0,28.0
V101,590226.0,0.8892492028477227,20.58257115838693,0.0,0.0,0.0,0.0,869.0
V102,590226.0,1.8272288919837485,35.92845559629801,0.0,0.0,0.0,0.0,1285.0
V103,590226.0,1.2792879337745202,25.68564203861779,0.0,0.0,0.0,0.0,928.0
V104,590226.0,0.08543337636769645,0.6487175539613351,0.0,0.0,0.0,0.0,15.0
V105,590226.0,0.28114484959998376,3.3739482507542635,0.0,0.0,0.0,0.0,99.0
V106,590226.0,0.1645844134280767,1.8256654248710946,0.0,0.0,0.0,0.0,55.0
V107,590226.0,0.999579821966501,0.020493955096907126,0.0,1.0,1.0,1.0,1.0
V108,590226.0,1.0046134870371688,0.08114598608299298,0.0,1.0,1.0,1.0,7.0
V109,590226.0,1.0148163584796333,0.12776937524051063,0.0,1.0,1.0,1.0,7.0
V110,590226.0,1.00773940829445,0.09728968358837081,0.0,1.0,1.0,1.0,7.0
V111,590226.0,1.002563424857597,0.07083033831686242,0.0,1.0,1.0,1.0,9.0
V112,590226.0,1.0053555756608485,0.08461738414207734,0.0,1.0,1.0,1.0,9.0
V113,590226.0,1.0033834497294256,0.0747536737460971,0.0,1.0,1.0,1.0,9.0
V114,590226.0,1.0092981332574302,0.11017890291315856,0.0,1.0,1.0,1.0,6.0
V115,590226.0,1.0324502817564798,0.1903846433652528,0.0,1.0,1.0,1.0,6.0
V116,590226.0,1.0157380393273086,0.13677025447055008,0.0,1.0,1.0,1.0,6.0
V117,590226.0,1.000391375507009,0.03523841796473356,0.0,1.0,1.0,1.0,3.0
V118,590226.0,1.001474011649775,0.04101134971945031,0.0,1.0,1.0,1.0,3.0
V119,590226.0,1.0007285344935668,0.036392137885621505,0.0,1.0,1.0,1.0,3.0
V120,590226.0,1.0008742413922802,0.041683999722178046,0.0,1.0,1.0,1.0,3.0
V121,590226.0,1.004276328050611,0.06709711647086535,0.0,1.0,1.0,1.0,3.0
V122,590226.0,1.0017586483821452,0.048636358836414144,0.0,1.0,1.0,1.0,3.0
V123,590226.0,1.0311202827391541,0.22813418767250968,0.0,1.0,1.0,1.0,13.0
V124,590226.0,1.0929745555092456,0.3741033094037906,0.0,1.0,1.0,1.0,13.0
V125,590226.0,1.0504145869548274,0.28003697967272434,0.0,1.0,1.0,1.0,13.0
V126,590226.0,129.97941710470164,2346.951681400462,0.0,0.0,0.0,0.0,160000.0
V127,590226.0,336.6115585155757,4238.666948935353,0.0,0.0,0.0,107.9499969482422,160000.0
V128,590226.0,204.09403837496455,3010.2587742512715,0.0,0.0,0.0,0.0,160000.0
V129,590226.0,8.768944125254277,113.83282816198813,0.0,0.0,0.0,0.0,55125.0
V130,590226.0,92.16584942117251,315.9604848025732,0.0,0.0,0.0,59.0,55125.0
V131,590226.0,31.133302173183154,161.16125768519964,0.0,0.0,0.0,0.0,55125.0
V132,590226.0,103.51318849235776,2266.1061397790672,0.0,0.0,0.0,0.0,93736.0
V133,590226.0,204.88915980030455,3796.3167547617395,0.0,0.0,0.0,0.0,133915.0
V134,590226.0,145.97232754635542,2772.9868170369714,0.0,0.0,0.0,0.0,98476.0
V135,590226.0,17.25013217816419,293.8475632059662,0.0,0.0,0.0,0.0,90750.0
V136,590226.0,38.82119582327327,451.8084113630037,0.0,0.0,0.0,0.0,90750.0
V137,590226.0,26.365089844530424,348.3327138122337,0.0,0.0,0.0,0.0,90750.0
V138,81945.0,0.036439074989322105,0.42848961494850674,0.0,0.0,0.0,0.0,22.0
V139,81945.0,1.073915431081823,1.3339238742877182,0.0,0.0,1.0,1.0,33.0
V140,81945.0,1.12526694734273,1.4678497274032292,0.0,0.0,1.0,1.0,33.0
V141,81945.0,0.037696015620233086,0.21513322068572396,0.0,0.0,0.0,0.0,5.0
V142,81945.0,0.048581365550064065,0.3138881855473408,0.0,0.0,0.0,0.0,9.0
V143,81951.0,8.397005527693377,55.267545222428595,0.0,0.0,0.0,0.0,869.0
V144,81951.0,3.7084843382020964,10.485633095512444,0.0,0.0,0.0,0.0,62.0
V145,81951.0,22.112945540627937,64.37185979960083,0.0,0.0,0.0,1.0,297.0
V146,81945.0,0.1562755506742327,0.6823275022252714,0.0,0.0,0.0,0.0,24.0
V147,81945.0,0.16860089084141802,0.7504970048716012,0.0,0.0,0.0,0.0,26.0
V148,81945.0,0.7650009152480323,0.5814254323224134,0.0,0.0,1.0,1.0,20.0
V149,81945.0,0.7753127097443407,0.6281909425816922,0.0,0.0,1.0,1.0,20.0
V150,81951.0,277.5980280899562,829.5769224831467,1.0,1.0,1.0,1.0,3389.0
V151,81951.0,6.460189625507925,15.232324043758211,1.0,1.0,1.0,1.0,57.0
V152,81951.0,9.432709789996462,21.5544863963074,1.0,1.0,1.0,1.0,69.0
V153,81945.0,0.7532003172859845,0.5326488254639842,0.0,0.0,1.0,1.0,18.0
V154,81945.0,0.7574226615412777,0.5469070201696852,0.0,0.0,1.0,1.0,18.0
V155,81945.0,0.7673805601317957,0.6026784588600058,0.0,0.0,1.0,1.0,24.0
V156,81945.0,0.7774848984074684,0.6472089880749404,0.0,0.0,1.0,1.0,24.0
V157,81945.0,0.8175727622185612,0.6820158729540873,0.0,0.0,1.0,1.0,24.0
V158,81945.0,0.8334614680578437,0.7343359919012945,0.0,0.0,1.0,1.0,24.0
V159,81951.0,2719.2997751396206,8355.445049027625,0.0,0.0,0.0,0.0,55125.0
V160,81951.0,47453.181172848184,142076.06916210707,0.0,0.0,0.0,0.0,641511.4375
V161,81945.0,4.843938007199951,58.92975701141874,0.0,0.0,0.0,0.0,3300.0
V162,81945.0,6.594661053145402,69.1951801882208,0.0,0.0,0.0,0.0,3300.0
V163,81945.0,5.505955213862957,63.077886705127504,0.0,0.0,0.0,0.0,3300.0
V164,81951.0,877.8889283442782,6049.166505035691,0.0,0.0,0.0,0.0,93736.0
V165,81951.0,2239.912219119266,8223.258927740535,0.0,0.0,0.0,0.0,98476.0
V166,81951.0,359.46943747462996,1244.463270469097,0.0,0.0,0.0,0.0,104060.0
V167,139631.0,3.9295142196217174,42.200980328236625,0.0,0.0,0.0,0.0,872.0
V168,139631.0,5.859501113649547,54.03246811665504,0.0,0.0,0.0,1.0,964.0
V169,139819.0,0.16805298278488617,0.9049439728416895,0.0,0.0,0.0,0.0,19.0
V170,139819.0,1.4367789785365366,1.751142506224765,0.0,1.0,1.0,1.0,48.0
V171,139819.0,1.6909075304500818,2.444747615791201,0.0,1.0,1.0,1.0,61.0
V172,139631.0,0.13201223224069153,0.924894308370983,0.0,0.0,0.0,0.0,31.0
V173,139631.0,0.05523128818099133,0.2644391597746982,0.0,0.0,0.0,0.0,7.0
V174,139819.0,0.12779379054348836,0.3797633532664853,0.0,0.0,0.0,0.0,8.0
V175,139819.0,0.21263919782003876,0.8571328250350685,0.0,0.0,0.0,0.0,14.0
V176,139631.0,1.3769793240755992,1.8294200292311273,0.0,1.0,1.0,1.0,48.0
V177,139631.0,3.529244938444901,41.31062197363368,0.0,0.0,0.0,0.0,861.0
V178,139631.0,6.64928275239739,69.44736395690806,0.0,0.0,0.0,0.0,1235.0
V179,139631.0,4.86901189563922,50.48942644860244,0.0,0.0,0.0,0.0,920.0
V180,139819.0,0.9241233308777776,6.11262996766922,0.0,0.0,0.0,0.0,83.0
V181,139631.0,0.2533319964764272,1.2489740465995216,0.0,0.0,0.0,0.0,24.0
V182,139631.0,0.8562425249407366,5.792934025611594,0.0,0.0,0.0,0.0,83.0
V183,139631.0,0.48469179480201385,2.946981953366914,0.0,0.0,0.0,0.0,41.0
V184,139819.0,0.13236398486614837,0.5436985799305978,0.0,0.0,0.0,0.0,16.0
V185,139819.0,0.1739034036861943,0.6997328606850698,0.0,0.0,0.0,0.0,31.0
V186,139631.0,1.148799335391138,1.2235291312947463,0.0,1.0,1.0,1.0,38.0
V187,139631.0,1.8437524618458652,9.884390139337413,0.0,1.0,1.0,1.0,218.0
V188,139819.0,1.0147547901215141,0.6712065638504338,0.0,1.0,1.0,1.0,30.0
V189,139819.0,1.038313820010156,0.7925279046619781,0.0,1.0,1.0,1.0,30.0
V190,139631.0,1.2130830546225408,1.4803183455034226,0.0,1.0,1.0,1.0,42.0
V191,139631.0,1.0589840364961935,0.6775272976774063,0.0,1.0,1.0,1.0,21.0
V192,139631.0,1.2373613309365399,2.6359614697066376,0.0,1.0,1.0,1.0,44.0
V193,139631.0,1.149844948471328,1.7147923319845033,0.0,1.0,1.0,1.0,37.0
V194,139819.0,0.9457727490541342,0.30415792626452115,0.0,1.0,1.0,1.0,7.0
V195,139819.0,0.9542265357354865,0.37641957704658885,0.0,1.0,1.0,1.0,16.0
V196,139631.0,1.084580071760569,1.1058337857784737,0.0,1.0,1.0,1.0,38.0
V197,139819.0,0.949384561468756,0.3368705582716,0.0,1.0,1.0,1.0,14.0
V198,139819.0,0.9619508078301232,0.49306493972494425,0.0,1.0,1.0,1.0,21.0
V199,139631.0,1.270749332168358,1.671862771609447,0.0,1.0,1.0,1.0,45.0
V200,139819.0,1.1199765410995643,1.2538527032545501,0.0,1.0,1.0,1.0,45.0
V201,139819.0,1.159105700941932,1.4186180534587256,0.0,1.0,1.0,1.0,55.0
V202,139631.0,444.14714222093323,4683.828418681597,0.0,0.0,0.0,0.0,104060.0
V203,139631.0,1078.3275380768232,9105.607991214429,0.0,0.0,0.0,30.924400329589844,139777.0
V204,139631.0,686.9569308033108,6048.980716179022,0.0,0.0,0.0,20.0,104060.0
V205,139631.0,18.060416619178316,266.54545076188197,0.0,0.0,0.0,0.0,55125.0
V206,139631.0,6.189360056666066,191.47401444980542,0.0,0.0,0.0,0.0,55125.0
V207,139631.0,72.28409784694104,925.6766601308594,0.0,0.0,0.0,0.0,55125.0
V208,139819.0,8.888193245857666,59.04712484620654,0.0,0.0,0.0,0.0,3300.0
V209,139819.0,35.00187177443491,250.80082230162378,0.0,0.0,0.0,0.0,8050.0
V210,139819.0,14.391834928471646,86.52372404545748,0.0,0.0,0.0,0.0,3300.0
V211,139631.0,385.1370373715462,4541.837914543744,0.0,0.0,0.0,0.0,92888.0
V212,139631.0,765.9883389453579,7496.120737359272,0.0,0.0,0.0,0.0,129006.0
V213,139631.0,536.3028021990133,5471.664736394631,0.0,0.0,0.0,0.0,97628.0
V214,139631.0,38.43754734545601,571.8342831549977,0.0,0.0,0.0,0.0,104060.0
V215,139631.0,133.20821668528237,1040.4537482009284,0.0,0.0,0.0,0.0,104060.0
V216,139631.0,71.1071429504061,680.2676246442129,0.0,0.0,0.0,0.0,104060.0
V217,130430.0,1.0546193360423215,9.547354323320343,0.0,0.0,0.0,0.0,303.0
V218,130430.0,1.7257839454113317,13.919875686804167,0.0,0.0,0.0,1.0,400.0
V219,130430.0,1.3671317948324773,12.044031625234126,0.0,0.0,0.0,1.0,378.0
V220,141416.0,0.1694716298014369,1.0024629109582426,0.0,0.0,0.0,0.0,25.0
V221,141416.0,1.2749123154381399,2.7287918731995564,0.0,1.0,1.0,1.0,384.0
V222,141416.0,1.3590046387961758,2.913771794671311,0.0,1.0,1.0,1.0,384.0
V223,130430.0,0.09315341562523959,0.4022320209997958,0.0,0.0,0.0,0.0,16.0
V224,130430.0,0.3947481407651614,3.4433103624346146,0.0,0.0,0.0,0.0,144.0
V225,130430.0,0.191758031127808,1.2908200525394504,0.0,0.0,0.0,0.0,51.0
V226,130430.0,0.24761174576401135,2.7564491983933066,0.0,0.0,0.0,0.0,242.0
V227,141416.0,0.14797476947445834,2.0493633772225843,0.0,0.0,0.0,0.0,360.0
V228,130430.0,1.3519282373687036,1.4097223703373636,0.0,1.0,1.0,1.0,54.0
V229,130430.0,1.638710419382044,4.316026042932349,0.0,1.0,1.0,1.0,176.0
V230,130430.0,1.4654757341102507,2.1227827791061156,0.0,1.0,1.0,1.0,65.0
V231,130430.0,0.7655064019014031,8.877118566593385,0.0,0.0,0.0,0.0,293.0
V232,130430.0,1.0055968718853026,10.460253000051875,0.0,0.0,0.0,0.0,337.0
V233,130430.0,0.9083876408801657,10.149883925927409,0.0,0.0,0.0,0.0,332.0
V234,141416.0,2.0928466368727725,11.323035987044996,0.0,0.0,0.0,0.0,121.0
V235,130430.0,0.18410641723529864,0.9026393840033422,0.0,0.0,0.0,0.0,23.0
V236,130430.0,0.30766694778808557,2.1523319668899896,0.0,0.0,0.0,0.0,45.0
V237,130430.0,0.25349996166526106,1.7166337510508964,0.0,0.0,0.0,0.0,39.0
V238,141416.0,0.12795581829495956,0.5746574282420979,0.0,0.0,0.0,0.0,23.0
V239,141416.0,0.1369646998925157,0.6162603033640887,0.0,0.0,0.0,0.0,23.0
V240,130430.0,1.0009967032124512,0.049522203885656355,0.0,1.0,1.0,1.0,7.0
V241,130430.0,1.0002376753814306,0.022663471715798116,0.0,1.0,1.0,1.0,5.0
V242,130430.0,1.1134631603158782,0.660110269587379,0.0,1.0,1.0,1.0,20.0
V243,130430.0,1.178386874185387,1.3989526034206925,0.0,1.0,1.0,1.0,57.0
V244,130430.0,1.1185616805949552,0.6988070496687168,0.0,1.0,1.0,1.0,22.0
V245,141416.0,0.8766193358601573,1.821064686217423,0.0,1.0,1.0,1.0,262.0
V246,130430.0,1.1837230698458943,1.0403627839928355,0.0,1.0,1.0,1.0,45.0
V247,130430.0,1.0253545963351989,0.2816043625865151,0.0,1.0,1.0,1.0,18.0
V248,130430.0,1.0694932147512075,0.888341444782899,0.0,1.0,1.0,1.0,36.0
V249,130430.0,1.0428505711876102,0.5288124683645102,0.0,1.0,1.0,1.0,22.0
V250,141416.0,0.7885882785540533,0.48838594796322926,0.0,1.0,1.0,1.0,18.0
V251,141416.0,0.7942312043898851,0.5012400830728735,0.0,1.0,1.0,1.0,18.0
V252,130430.0,1.0320478417541976,0.38954550554587125,0.0,1.0,1.0,1.0,24.0
V253,130430.0,1.1621636126657977,3.6125533215362715,0.0,1.0,1.0,1.0,163.0
V254,130430.0,1.0751130874798742,1.3575500978101622,0.0,1.0,1.0,1.0,60.0
V255,141416.0,0.8066555410986027,0.9391242515735942,0.0,1.0,1.0,1.0,87.0
V256,141416.0,0.8149502177971375,0.969952827423104,0.0,1.0,1.0,1.0,87.0
V257,130430.0,1.250992869738557,1.2999564637184449,0.0,1.0,1.0,1.0,48.0
V258,130430.0,1.3435099286973855,2.015810855150183,0.0,1.0,1.0,1.0,66.0
V259,141416.0,0.9678324942015047,2.113447330539762,0.0,1.0,1.0,1.0,285.0
V260,130430.0,0.964425362263283,0.37982832197005667,0.0,1.0,1.0,1.0,8.0
V261,130430.0,1.1071609292340718,1.3232304843105491,0.0,1.0,1.0,1.0,49.0
V262,130430.0,1.0132791535689643,0.6254547786460241,0.0,1.0,1.0,1.0,20.0
V263,130430.0,117.39067638525977,1294.851543164122,0.0,0.0,0.0,0.0,153600.0
V264,130430.0,201.6576173337795,2284.8274920346435,0.0,0.0,0.0,33.59349822998047,153600.0
